delo,plača neto,kraj,delovnik,trajanje
LAŽJA FIZIČNA DELA,6.20 €/h neto,LJUBLJANA,DOPOLDAN,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,SLOVENSKE KONJICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,KAPLA,IZMENSKO,POČITNIŠKO DELO
DELO V ORDINACIJI,6.45 €/h neto,LJUBLJANA CENTER,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,KOPER,POPOLDAN,PO DOGOVORU
POMOČ V STREŽBI,6.20 €/h neto,HRASTNIK,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,MOKRONOG,IZMENSKO,POČITNIŠKO DELO
POMOČ V KUHINJI,10.00 €/h neto,ZGORNJE JEZERSKO,PO DOGOVORU,POČITNIŠKO DELO
KOZMETIČNE STORITVE,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,9.16 €/h neto,"SLOVENJ GRADEC, RAVNE",PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.19 €/h neto,OTIŠKI VRH,IZMENSKO,PO DOGOVORU
STREŽBA,7.50 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,8.00 €/h neto,BLED,DOPOLDAN,PO DOGOVORU
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,IG,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,DOLENJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,MEDVODE,PO DOGOVORU,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.20 €/h neto,LESCE,PO DOGOVORU,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.20 €/h neto,JESENICE,PO DOGOVORU,POČITNIŠKO DELO
DELO V TURIZMU,9.00 €/h neto,KRANJSKA GORA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO) OZIROMA PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,ILIRSKA BISTRICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,NAZARJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.50 €/h neto,SEŽANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,OD 8 €/H DO 10 €/H BRUTO,IZOLA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,PO DOGOVORU,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,6.20 €/h neto,SEVNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V FARMACIJI,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,CELJE,IZMENSKO,PO DOGOVORU
STREŽBA,7.74 €/h neto,ŠENČUR,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.50 €/h neto,KOBARID,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,ŠOŠTANJ,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.50 €/h neto,BOHINJSKA BISTRICA,PO DOGOVORU,PO DOGOVORU
MASER/KA,8.15 €/h neto,PORTOROŽ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
GRADBENA DELA,PO DOGOVORU,PTUJ,DOPOLDAN,CCA DO AVGUSTA 2024
STREŽBA,6.45 €/h neto,LJUBLJANA CENTER,DOPOLDAN,PO DOGOVORU
INFORMACIJSKO KOMUNIKACIJSKA DELA,6.88 €/h neto,TRZIN,DOPOLDAN,PO DOGOVORU
STREŽBA,7.00 €/h neto,KRŠKO,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA,6.62 €/h neto,DOB,PO DOGOVORU,PO DOGOVORU
LEPLJENJE,6.88 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,6.29 €/h neto,PODČETRTEK,IZMENSKO,POČITNIŠKO DELO
POUČEVANJE,12.22 €/h neto,MENGEŠ,POPOLDAN,PO DOGOVORU
DELO V PROIZVODNJI,6.28 €/h neto,SODRAŽICA,IZMENSKO,POČITNIŠKO DELO
POUČEVANJE,10.33 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PEKARNI,7.00 €/h neto,LOVRENC NA POHORJU,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.66 €/h neto,BREŽICE,POPOLDAN,POČITNIŠKO DELO
POMOČ V STREŽBI,7.12 €/h neto,KRŠKO,POPOLDAN,PO DOGOVORU
POMOČ V STREŽBI,8.00 €/h neto,KRANJ,MED VIKENDI,PO DOGOVORU
STREŽBA,8.00 €/h neto,VELENJE,IZMENSKO,PO DOGOVORU
POMOČ V STREŽBI,8.00 €/h neto,KAMNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,7.19 €/h neto,KRANJSKA GORA,IZMENSKO,POČITNIŠKO DELO
PROGRAMIRANJE,PO DOGOVORU,KRŠKO,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,STARŠE,PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,ŠALOVCI,IZMENSKO,POČITNIŠKO DELO
POMOČ V STREŽBI,9.00 €/h neto,CELJE,PO DOGOVORU,PO DOGOVORU
STREŽBA,PO DOGOVORU,LAPORJE,IZMENSKO,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,PO DOGOVORU,PORTOROŽ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,ŠEMPAS,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,12.00 €/h neto,OD DOMA,PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.80 €/h neto,IZOLA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,PO DOGOVORU,LJUBLJANA IN PO SLOVENIJI,PO DOGOVORU,PO DOGOVORU
POUČEVANJE,12.91 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,10.33 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,10.33 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,10.33 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,10.33 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.24 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.40 €/h neto,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.40 €/h neto,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.40 €/h neto,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.40 €/h neto,KOPER,PO DOGOVORU,POČITNIŠKO DELO
RAZVOZ,6.20 €/h neto,LENART IN MARIBOR,DOPOLDAN,PO DOGOVORU
STREŽBA,8.00 €/h neto,LITIJA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,6.20 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
STREŽBA,7.00 €/h neto,KRŠKO,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.50 €/h neto,KOPER,PO DOGOVORU,PO DOGOVORU
PROJEKTNO DELO,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.12 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.88 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.70 €/h neto,PIRAN,DOPOLDAN,PO DOGOVORU
POMOČ PRI OSKRBI STANOVALCEV,7.10 €/h neto,SEŽANA,DOPOLDAN,POČITNIŠKO DELO
POMOČ PRI OSKRBI STANOVALCEV,7.10 €/h neto,IDRIJA,DOPOLDAN,POČITNIŠKO DELO
KOZMETIČNE STORITVE,8.61 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,7.40 €/h neto,LJUBLJANA ŠIŠKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,7.40 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.00 €/h neto,LJUBLJANA,IZMENSKO,PO DOGOVORU
ZDRAVSTVENI TEHNIK,9.04 €/h neto,KAMNIK,IZMENSKO,POČITNIŠKO DELO
ADMINISTRATIVNA DELA,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,BELVEDERE,PO DOGOVORU,POČITNIŠKO DELO
PROGRAMIRANJE,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROGRAMIRANJE,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROGRAMIRANJE,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.31 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ORGANIZACIJSKA DELA,7.00 €/h neto,KAMNIK,DOPOLDAN,PO DOGOVORU
STREŽBA,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.02 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.40 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.40 €/h neto,MARIBOR EUROPARK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ANIMATOR/KA,PO DOGOVORU,PACUG PRI PORTOROŽU,PO DOGOVORU,"DO 30. 8. 2024, 10 ALI 7 DNEVNI TERMINI"
ADMINISTRATIVNA DELA,6.20 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.61 €/h neto,LJUBLJANA,POPOLDAN,"POČITNIŠKO DELO, MOŽNOST PODALJŠANJA DELA"
PRODAJA,6.62 €/h neto,LJUBLJANA BTC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,PO DOGOVORU,CELJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PLAKATIRANJE,PO DOGOVORU,NOVA GORICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.45 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
NEGOVANJE,8.66 €/h neto,MENGEŠ IN TRZIN,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,6.20 €/h neto,IZOLA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,6.88 €/h neto,PTUJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,7.74 €/h neto,NOTRANJE GORICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,MURSKA SOBOTA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,10.00 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,10.00 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,MARIBOR,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.54 €/h neto,LOGATEC,IZMENSKO,POČITNIŠKO DELO
POMOČ V STREŽBI,7.00 €/h neto,MEDVODE,IZMENSKO,PO DOGOVORU
STROJNIŠKA DELA,8.12 €/h neto,RAKA,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA,6.20 €/h neto,ILIRSKA BISTRICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
POMOČ PRI PRODAJI,6.41 €/h neto,NOVA GORICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,NOVEMBER IN DECEMBER 
ČIŠČENJE,6.20 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.20 €/h neto,LJUBLJANA - RUDNIK,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.12 €/h neto,ŠENTJUR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.88 €/h neto,LJUBJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
UREDNIK SPLETNIH VSEBIN,8.05 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.20 €/h neto,LJUBLJANA - CENTER,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,9.50 €/h neto,BOHINJSKA BELA,PO DOGOVORU,POČITNIŠKO DELO
RAZVOZ,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
POUČEVANJE,10.67 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.20 €/h neto,RADEČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,PORTOROŽ,IZMENSKO,PO DOGOVORU
STREŽBA,8.00 €/h neto,SEŽANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,LJUBNO OB SAVINJI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,ČRNOMELJ,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.00 €/h neto,RIBNICA,IZMENSKO,PO DOGOVORU
STREŽBA,7.20 €/h neto,LJUBLJANA CENTER,PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,7.31 €/h neto,KAMNIK,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
SPREMLJEVALEC/ SPREMLJEVALKA,7.10 €/h neto,KRANJ,PO DOGOVORU,PO DOGOVORU
SPREMLJEVALEC/ SPREMLJEVALKA,7.10 €/h neto,DOMŽALE,PO DOGOVORU,PO DOGOVORU
STREŽBA,9.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,8.50 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,8.61 €/h neto,ZAGORJE OB SAVI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,7.74 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,MARIBOR TABOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,8.15 €/h neto,KRANJSKA GORA,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.50 €/h neto,LJUBLJANA,POPOLDAN,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,7.50 €/h neto,LJUBLJANA-POLJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,ZAGORJE OB SAVI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,POSTOJNA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,KRŠKO,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,MURSKA SOBOTA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,SLOVENJ GRADEC,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,NOVO MESTO,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,NOVA GORICA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,JESENICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,10.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,6.88 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,TRBOVLJE,IZMENSKO,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,10.33 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,7.12 €/h neto,BOVEC,IZMENSKO,PO DOGOVORU
RAZVOZ,6.20 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
REŠEVALEC/KA IZ VODE,PO DOGOVORU,PODČETRTEK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.45 €/h neto,KAMNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,PO DOGOVORU  ,MARIBOR,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,9.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
STREŽBA,8.00 €/h neto,MARIBOR,PO DOGOVORU,PO DOGOVORU
STREŽBA,6.88 €/h neto,PTUJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,10.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.20 €/h neto,LJUBLJANA ŠIŠKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,PO DOGOVORU,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,RIBNICA,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.12 €/h neto,BREZOVICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,7.74 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V ZDRAVSTVU,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V ZDRAVSTVU,8.61 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.31 €/h neto,STARA FUŽINA,PO DOGOVORU,PO DOGOVORU (PREDVSEM POLETJE)
STREŽBA,7.40 €/h neto,KOPER,PO DOGOVORU,POČITNIŠKO DELO
DELO V KUHINJI,7.40 €/h neto,KOPER,PO DOGOVORU,POČITNIŠKO DELO
STROKOVNO DELO,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,POLHOV GRADEC,IZMENSKO,PO DOGOVORU
POMOČ V TRGOVINI,6.88 €/h neto,DOBROVA,IZMENSKO,PO DOGOVORU
ZDRAVSTVENA NEGA,8.00 €/h neto,LJUBLJANA VIČ-RUDNIK,IZMENSKO,POČITNIŠKO DELO
POMOČ V STREŽBI,8.00 €/h neto,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
REDITELJ,PO DOGOVORU,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
SNEMANJE,PO DOGOVORU,LJUBLJANA - VIČ,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.54 €/h neto,KOZINA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,9.00 €/h neto,PO CELOTNI SLOVENIJI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.00 €/h neto,ANKARAN,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,8.00 €/h neto,IZOLA,IZMENSKO,PO DOGOVORU
POMOČ V STREŽBI,7.00 €/h neto,RIMSKE TOPLICE,PO DOGOVORU,PO DOGOVORU
STREŽBA,9.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,LAŠKO,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENI TEHNIK,7.74 €/h neto,GROSUPLJE,IZMENSKO,PO DOGOVORU
INFORMATIKA,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
SNEMANJE,PO PROJEKTU,LJUBLJANA IN PO SLOVENIJI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,7.12 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,8.49 €/h neto,LJUBLJANA-KOMENDA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,8.17 €/h neto,KRANJ,IZMENSKO,"MED POČITNICAMI, MOŽNOST PODALJŠANJA DELA"
STREŽBA,8.00 €/h neto,LJUBLJANA,IZMENSKO,PO DOGOVORU
STREŽBA,9.00 €/h neto,VEVČE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V ZDRAVSTVU,8.17 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,LJUBLJANA CENTER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.88 €/h neto,LUCIJA,PO DOGOVORU,PO DOGOVORU
POMOČ V KUHINJI,7.40 €/h neto,KRANJ,POPOLDAN,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.50 €/h neto,LJUBLJANA CELOVŠKI DVORI,POPOLDAN,PO DOGOVORU
